fecha,version,hilos,archivos_ok,archivos_error,palabras,caracteres,segundos,vsz_kb,rss_kb,rss_pico_kb
2026-08-22 18:08:52,concurrente,3,11,2,400,2957,15.015,320592,14964,14964
2026-08-22 18:09:16,concurrente,3,0,0,0,0,0.003,320512,14472,14472
2026-08-22 18:09:37,concurrente,3,0,0,0,0,0.002,320512,14444,14444
2026-08-22 18:10:50,concurrente,3,0,0,0,0,0.003,320512,14448,14448
2026-08-22 18:12:38,concurrente,3,0,0,0,0,0.002,320592,14704,14704
2026-08-22 18:14:33,concurrente,3,0,0,0,0,0.002,320592,14788,14788
2026-08-22 18:19:16,concurrente,3,11,2,400,2957,15.016,320512,14680,14680
2026-08-22 18:25:03,concurrente,3,11,2,400,2957,15.016,320512,14744,14744
2026-08-22 18:27:16,concurrente,3,11,2,400,2957,15.011,320512,14732,14732
2026-08-22 18:28:55,concurrente,3,11,2,400,2957,15.021,320512,14692,14692
